Artista;Pais
The Weeknd;Canada
Taylor Swift;United States
Ed Sheeran;United Kingdom
Dua Lipa;United Kingdom
Bad Bunny;Puerto Rico
Rihanna;Barbados
Drake;Canada
Justin Bieber;Canada
Billie Eilish;United States
Miley Cyrus;United States
David Guetta;France
Travis Scott;United States
Ariana Grande;United States
Coldplay;United Kingdom
Calvin Harris;United Kingdom
Shakira;Colombia
Eminem;United States
Post Malone;United States
Bruno Mars;United States
Doja Cat;United States
Nicki Minaj;Trinidad and Tobago
SZA;United States
Harry Styles;United Kingdom
Olivia Rodrigo;United States
Imagine Dragons;United States
Ye;United States
Maroon 5;United States
Marshmello;United States
KAROL G;Colombia
Lana Del Rey;United States
Sam Smith;United Kingdom
21 Savage;United Kingdom
Selena Gomez;United States
Daddy Yankee;Puerto Rico
Lady Gaga;United States
Metro Boomin;United States
Future;United States
Khalid;United States
J Balvin;Colombia
Beyonce;United States
Adele;United Kingdom
Katy Perry;United States
Peso Pluma;Mexico
Elton John;United Kingdom
Queen;United Kingdom
Chris Brown;United States
Kendrick Lamar;United States
OneRepublic;United States
Myke Towers;Puerto Rico
Rauw Alejandro;Puerto Rico
Ozuna;Puerto Rico
Arctic Monkeys;United Kingdom
Sia;Australia
Shawn Mendes;Canada
Bebe Rexha;United States
Tiesto;Netherlands
Halsey;United States
Bizarrap;Argentina
Charlie Puth;United States
Ice Spice;United States
J. Cole;Germany
Ellie Goulding;United Kingdom
Anne-Marie;United Kingdom
Madonna;United States
Black Eyed Peas;United States
Feid;Colombia
Maluma;Colombia
Camila Cabello;Cuba
Swae Lee;United States
Arijit Singh;India
One Direction;United Kingdom
James Arthur;United Kingdom
Farruko;Puerto Rico
Quevedo;Spain
Playboi Carti;United States
The Chainsmokers;United States
Pitbull;United States
Gunna;United States
Michael Jackson;United States
Avicii;Sweden
Kali Uchis;Colombia
JAY-Z;United States
Latto;United States
XXXTENTACION;United States
Manuel Turizo;Colombia
Grupo Frontera;United States
Lil Wayne;United States
ROSALÍA;Spain
Pritam;India
Lil Uzi Vert;United States
Aqua;Denmark
Sean Paul;Jamaica
Linkin Park;United States
P!nk;United States
Diplo;United States
Britney Spears;United States
Jhayco;Puerto Rico
Shreya Ghoshal;India
BTS;South Korea
Justin Timberlake;United States
Fleetwood Mac;United Kingdom
Jung Kook;South Korea
Don Omar;Puerto Rico
Central Cee;United Kingdom
Anuel AA;Puerto Rico
Jason Derulo;United States
DJ Snake;France
Ava Max;United States
Becky G;United States
Rema;United Kingdom
The Neighbourhood;United States
Lewis Capaldi;United Kingdom
A. R. Rahman;India
The Kid LAROI;Australia
Cardi B;United States
50 Cent;United States
Young Thug;United States
Coi Leray;United States
Demi Lovato;United States
Alan Walker;United Kingdom
Pharrell Williams;United States
